Data Source, Old Variable name, New Variable Name, Unit (no unit for no units)
NTUN, TLng, Target_Longitude, degrees longitude
NTUN, TAlt, Target_Altitude, m
NTUN, TAspd, Target_Airspeed, mpers
SONR, TimeUS, Time, US
SONR, Dist, Dist, unavailable
SONR, Volt, Voltage, V
SONR, Cnt, Cnt, unavailable
SONR, Corr, Corr, unavailable
ARM, TimeUS, Time, US
ARM, ArmState, Arm_State, no unit
ARM, ArmChecks, Arm_Checks, no unit
ARM, Forced, Forced, no unit
ARM, Method, Method, unavailable
ATRP, TimeUS, Time, US
ATRP, Type, Type, unavailable
ATRP, State, State, unavailable
ATRP, Servo, Servo, unavailable
ATRP, Demanded, Demanded, unavailable
ATRP, Achieved, Achieved, unavailable
ATRP, P, P, unavailable
STAT, TimeUS, Time, US
STAT, isFlying, isFlying, unavailable
STAT, isFlyProb, isFlyProb, unavailable
STAT, Armed, Armed, unavailable
STAT, Safety, Safety_Switch, unavailable
STAT, Crash, Crash_Detected, unavailable
STAT, Still, Still, unavailable
STAT, Stage, Stage, unavailable
STAT, Hit, Impact_Detected, unavailable
QTUN, TimeUS, Time, US
QTUN, AngBst, AngBst, unavailable
QTUN, ThrOut, ThrOut, unavailable
QTUN, DAlt, DAlt, unavailable
QTUN, Alt, Altitude, m
QTUN, DCRt, DCRt, unavailable
QTUN, CRt, CRt, unavailable
QTUN, DVx, DVx, unavailable
QTUN, DVy, DVy, unavailable
QTUN, DAx, DAx, unavailable
QTUN, DAy, DAy, unavailable
QTUN, TMix, TMix, unavailable
AOA, TimeUS, Time, US
AOA, AOA, AOA, degrees
AOA, SSA, SSA, degrees
OF, TimeUS, Time, US
OF, Qual, Qual, unavailable
OF, flowX, flowX, unavailable
OF, flowY, flowY, unavailable
OF, bodyX, bodyX, unavailable
OF, bodyY, bodyY, unavailable
PIQR, TimeUS, Time, US
PIQR, Des, Des, unavailable
PIQR, P, P, unavailable
PIQR, I, I, unavailable
PIQR, D, D, unavailable
PIQR, FF, FF, unavailable
PIQR, AFF, AFF, unavailable
PIQP, TimeUS, Time, US
PIQP, Des, Des, unavailable
PIQP, P, P, unavailable
PIQP, I, I, unavailable
PIQP, D, D, unavailable
PIQP, FF, FF, unavailable
PIQP, AFF, AFF, unavailable
PIQY, TimeUS, Time, US
PIQY, Des, Des, unavailable
PIQY, P, P, unavailable
PIQY, I, I, unavailable
PIQY, D, D, unavailable
PIQY, FF, FF, unavailable
PIQY, AFF, AFF, unavailable
PIQA, TimeUS, Time, US
PIQA, Des, Des, unavailable
PIQA, P, P, unavailable
PIQA, I, I, unavailable
PIQA, D, D, unavailable
PIQA, FF, FF, unavailable
PIQA, AFF, AFF, unavailable
AETR, TimeUS, Time, US
AETR, Ail, Aileron, cdegree
AETR, Elev, Elevator, cdegree
AETR, Thr, Throttle, %
AETR, Rudd, Rudder, cdegree
AETR, Flap, Flap, %
EV, TimeUS, Time, US
EV, Event, Event, unavailable
CESC, TimeUS, Time, US
CESC, Id, Id, no unit
CESC, ECnt, ECnt, unavailable
CESC, Voltage, Voltage, V
CESC, Curr, Current, A
CESC, Temp, Temperature, degrees C
CESC, RPM, RPM, rpm
CESC, Pow, PowerOut, W
CSRV, TimeUS, Time, US
CSRV, Id,, Id, no unit
CSRV, Pos, Position, unavailable
CSRV, Force, Force, unavailable
CSRV, Speed, Speed, unavailable
CSRV, Pow, Power, W
LGR, TimeUS, Time, US
LGR, LandingGear, Landing_Gear_State, no unit
LGR, WeightOnWheels, Weight_On_Wheels, no unit
MAV, TimeUS, Time, US
MAV, chan, Channel_Number, no unit
MAV, txp, Transmitted_Packet_Count, no unit
MAV, rxp, Received_Packet_Count, no unit
MAV, rxdp, Expected_Number_of_Packets, no unit
